"country_code"	"meteorite_class"	"count"	"average_mass"	"max_mass"	"min_mass"	
"COD"	"H5"	"1"	"4.0"	"4.0"	"4.0"	
"GBR"	"LL5"	"2"	"351.0"	"700.0"	"2.0"	
"GBR"	"LL6"	"1"	"15000.0"	"15000.0"	"15000.0"	
"GBR"	"L6"	"7"	"6803.86"	"25000.0"	"767.0"	
"GBR"	"L5"	"2"	"24127.5"	"44000.0"	"4255.0"	
"GBR"	"H5"	"3"	"31185.67"	"92750.0"	"13.0"	
"GBR"	"L3"	"1"	"5460.0"	"5460.0"	"5460.0"	
"GBR"	"Stone-uncl"	"2"	"19700.0"	"29000.0"	"10400.0"	
"GBR"	"H6"	"2"	"85.0"	"140.0"	"30.0"	
"GBR"	"Winonaite"	"1"	"157.0"	"157.0"	"157.0"	
"GBR"	"Iron, IIIAB"	"1"	"3500.0"	"3500.0"	"3500.0"	
"GBR"	"Pallasite, PMG"	"1"	"17600.0"	"17600.0"	"17600.0"	
"SYR"	"L6"	"1"	"3200.0"	"3200.0"	"3200.0"	
"UKR"	"H4"	"5"	"3641.4"	"9251.0"	"130.0"	
"UKR"	"L3"	"1"	"600.0"	"600.0"	"600.0"	
"UKR"	"L6"	"11"	"7763.05"	"40000.0"	"26.6"	
"UKR"	"H6"	"3"	"37139.33"	"107000.0"	"1850.0"	
"UKR"	"L5"	"3"	"24880.0"	"54640.0"	"7000.0"	
"UKR"	"L4"	"1"	"614.0"	"614.0"	"614.0"	
"UKR"	"Eucrite-mmict"	"1"	"1700.0"	"1700.0"	"1700.0"	
"UKR"	"H3.7"	"1"	"3618.0"	"3618.0"	"3618.0"	
"UKR"	"L/LL5"	"1"	"500000.0"	"500000.0"	"500000.0"	
"UKR"	"LL3.2"	"1"	"50000.0"	"50000.0"	"50000.0"	
"UKR"	"CM2"	"1"	"8000.0"	"8000.0"	"8000.0"	
"UKR"	"LL6"	"4"	"3769.4"	"12000.0"	"545.6"	
"UKR"	"LL4"	"1"	"2500.0"	"2500.0"	"2500.0"	
"UKR"	"Howardite"	"1"	"1472.0"	"1472.0"	"1472.0"	
"UKR"	"Iron, IIIAB"	"2"	"204765.0"	"400000.0"	"9530.0"	
"UKR"	"L5/6"	"1"	"531.0"	"531.0"	"531.0"	
"UKR"	"Iron, IIAB"	"1"	"144.0"	"144.0"	"144.0"	
"UKR"	"H4/5"	"1"	"48000.0"	"48000.0"	"48000.0"	
"UKR"	"Iron, IIE"	"1"	"70.0"	"70.0"	"70.0"	
"USA"	"H5"	"275"	"12551.1"	"700000.0"	"0.6"	
"USA"	"L6"	"263"	"14135.39"	"564000.0"	"0.84"	
"USA"	"H6"	"124"	"12686.34"	"295000.0"	"0.5"	
"USA"	"LL6"	"19"	"4309.5"	"19400.0"	"10.56"	
"USA"	"L4"	"52"	"8486.58"	"150000.0"	"1.75"	
"USA"	"H4"	"179"	"7492.7"	"150000.0"	"1.6"	
"USA"	"C2-ung"	"1"	"375.0"	"375.0"	"375.0"	
"USA"	"Eucrite-mmict"	"7"	"1025.13"	"4100.0"	"6.1"	
"USA"	"H"	"15"	"2523.41"	"17800.0"	"12.5"	
"USA"	"Aubrite"	"5"	"239530.0"	"1100000.0"	"4650.0"	
"USA"	"L5"	"132"	"13623.21"	"450000.0"	"2.1"	
"USA"	"L"	"15"	"4480.63"	"19700.0"	"7.7"	
"USA"	"H4-an"	"2"	"892.85"	"1504.0"	"281.7"	
